,week,year,weekly_pageviews
0,1,2013,103
1,2,2016,227
2,2,2017,403
3,3,2017,8078
4,4,2013,112
5,4,2016,199
6,4,2017,501
7,5,2013,119
8,5,2014,2364
9,7,2012,213
10,7,2017,1163
11,9,2012,91
12,9,2016,81
13,10,2014,165
14,10,2017,541
15,11,2014,139
16,11,2016,146
17,12,2012,93
18,13,2014,2746
19,13,2016,81
20,13,2017,670
21,14,2015,466
22,15,2013,961
23,15,2015,79
24,15,2016,164
25,16,2014,88
26,16,2017,282
27,17,2017,326
28,18,2016,249
29,19,2012,354
30,19,2016,323
31,21,2016,187
32,22,2015,160
33,22,2016,334
34,24,2012,151
35,24,2013,424
36,24,2016,986
37,25,2013,504
38,25,2016,614
39,26,2015,190
40,26,2016,813
41,27,2016,718
42,28,2014,108
43,29,2016,1534
44,30,2015,76
45,30,2016,1541
46,31,2016,478
47,32,2012,80
48,32,2013,333
49,32,2015,86
50,32,2016,370
51,33,2013,183
52,33,2014,565
53,33,2016,371
54,34,2013,88
55,34,2016,252
56,35,2012,210
57,36,2014,110
58,36,2016,309
59,37,2015,120
60,37,2016,326
61,38,2012,95
62,38,2014,90
63,38,2016,2554
64,39,2015,117
65,39,2016,116
66,40,2013,3618
67,40,2015,506
68,40,2016,396
69,41,2012,798
70,42,2015,92
71,43,2016,1472
72,44,2016,991
73,45,2014,122
74,45,2016,480
75,46,2015,255
76,46,2016,358
77,47,2016,1474
78,48,2016,234
79,49,2014,518
80,49,2016,251
81,50,2016,620
82,51,2012,174
83,51,2014,527
84,51,2016,1179
85,52,2012,135
