,published,article_id,pageviews,title,topic_id,week,month,year
0,2016-06-07,721270.0,554,Schmeckt (fast) so gut wie ein Sieg: Der echte EM-Burger,924,23,6,2016
1,2016-06-17,722197.0,297,Sommer auf dem Teller: Rezept für Erdbeer-Roulade,924,24,6,2016
2,2016-07-04,723831.0,562,Fürs Picknick perfekt: Pastasalat im Glas,924,27,7,2016
3,2016-08-05,726331.0,2785,Leichtes Sommermenü: Spaghetti mit Zitronenricotta,924,31,8,2016
4,2016-09-16,729946.0,520,Kochen Sie wie Tanja Grandits – beispielsweise Falafel oder einen Frühlingszwiebel-Tee,924,37,9,2016
5,2016-12-17,732410.0,421,Weihnachtsmenü: knuspriges Mistkratzerli statt öden Hahn,924,50,12,2016
6,2016-11-04,733676.0,390,Ein farbenfrohes Winterdessert mit Vitaminpower,924,44,11,2016
7,2016-12-03,735852.0,869,Bratwurst mit Äpfeln aus dem Ofen – ein Meter Glück,924,48,12,2016
8,2016-12-10,737114.0,468,Gnocchi und Apfelchips: Kochen Sie politisch wie Maurice Maggi,924,49,12,2016
9,2016-12-16,737798.0,459,"Knusprige Heugümper zur Vorspeise, Schoggiwürmli zum Dessert",924,50,12,2016
10,2016-12-30,738472.0,388,"Festlich, festlich: Apfelpunsch mit Schlagrahmhaube",924,52,12,2016
11,2017-01-01,738672.0,586,Kochen Sie orientalisch wie in 1001 Nacht,924,52,1,2017
12,2017-01-14,738902.0,738,Pasta mit Brasato di Manzo,924,2,1,2017
13,2017-02-04,741244.0,510,Schokoladenkuchen gegen den Winterblues,924,5,2,2017
14,2017-02-18,742454.0,716,Deftig und zart – Schweinsragout in Bier geschmort,924,7,2,2017
15,2017-03-25,745871.0,731,Nicht kochen. Braten! Spargeln bestehen ohnehin fast nur aus Wasser,924,12,3,2017
16,2017-04-13,747403.0,1221,Bälle mit Pistazien – warum Yann Sommer einen Foodblog betreibt,924,15,4,2017
17,2017-04-28,748528.0,1273,«Sauerteigbrot backen ist Anarchie»,924,17,4,2017
