,count,type
0,weniger als 10,advertisment
1,4327,blog
2,33,bloginfo
3,62,cover
4,113,deb_moderator
5,226,deb_statement
6,weniger als 10,dienstchef
7,113,dossier
8,8889,event
9,weniger als 10,football
10,weniger als 10,iPad_Ad
11,5269,link
12,255,mobile_issue
13,18307,news
14,1007,newsletter
15,128251,newswire
16,41,paid
17,weniger als 10,pinnwand
18,weniger als 10,PrintDesk
19,1371,restaurant
20,weniger als 10,rss_placeholder
21,1840,screening
22,12,static_page
23,weniger als 10,subscription
24,weniger als 10,weather
